parameter ： max = 7, min = 2, seed = 0
  1番目, 正解です       , ょむかべず
  2番目, 間違いです     , とまゑつゃのろ
  3番目, 1つ            , しむ
  4番目, 木材           , ろよがば
  5番目, 鍵             , こめっよぐる
  6番目, 丸い           , あせ
  7番目, もうひとつ     , ぅづぴぇむぅ
  8番目, なにもない     , じぼぱ
  9番目, 左の           , いぉにぉ
 10番目, 右の           , みさみびにぉっ
 11番目, 簡単           , ばほおん
 12番目, 上にあげる     , いくびぱのちゎ
 13番目, 両方の         , をねめすゆ
 14番目, しない         , えもじぇ
 15番目, 自然の         , のも
 16番目, 全部           , たぞぷてゐんご
 17番目, 手             , ぇせぅりのじつ
 18番目, 2つ            , わら
 19番目, 持つ           , べばひだたゃと
 20番目, やりなおす     , びん
 21番目, 金属の         , とぃかににかへ
